node,block,state_root,cold_root,cold_keys,node_count,node_bytes,path_count,path_bytes_sum,avg_path_bytes,threshold
node1,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,0x9b3839053eb77bbdfc6ba419f0b50834cc96acc4ec99df2b35ccabfaed1782e1,20,33,3338,20,11986,599,2
node1,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,0x3ee0aeab593b60d49027b17a1ff529376276641f37f9f1ddf2d6497a7352a0ba,354,518,57124,354,384098,1085,2
node1,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,0xf2cd7a71f8169b6ca15223bbb43f27ad4d0e31ed46adcffad24aa1f7a6f4a22c,717,1017,114083,717,901709,1257,2
node1,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,0xfb6c48a3fbecf7505fa8b7ecf768cdfa4f3a542d01b8a06461d353b3aceddcc5,1077,1489,169462,1077,1424999,1323,2
node1,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,0x62a52b20da884377bff220887c895c9a35cdafeb76d531851ad82a7e097067e7,1470,2004,229867,1470,2040940,1388,2
node1,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,0x3402f29bdc87367140ea3137b66908184d19888397c92f97598a22060302dce7,1792,2434,279709,1792,2546640,1421,2
node1,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,0x6bd56f4f8e00b5b9e13a68df6db79e745d4296f41e0a1874130acee5a8a6ebe4,2154,2922,336085,2154,3131387,1453,2
node1,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,0xcfc141747c9d0edae839b4ddbc25acba32e0bf8d0ff01a7ca70a2878d4009c3a,2548,3477,398473,2548,3781846,1484,2
node1,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,0xedd8f739beeb7d4bb4ecd4352e9d19be35225ca6a498c8544f083febe08299b8,2913,3993,456391,2913,4396587,1509,2
node1,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,0xc7f9b5d6444b6dc215f68fdf07226be07c6c19b995576d9dafe6e3b3f4ed6b7c,3262,4482,511662,3262,4997999,1532,2
node1,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,0x0654a0ed6ef0001bd9710ac60b9751acc07784224a6bf2e4c3abf65582c48d42,3649,5042,573726,3649,5682358,1557,2
node1,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,0x4f32f9d586015e4202f2dd8e60a8c0ddb55631c9ea05479494fdbf6f672e1d29,4073,5648,641382,4073,6440165,1581,2
node2,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,0x6a2270beef0390fe12e09e351fb4e1e01581221f8e898e8bed64f8b03a11763f,153,209,24003,153,143282,936,2
node2,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,0x3ee0aeab593b60d49027b17a1ff529376276641f37f9f1ddf2d6497a7352a0ba,354,518,57124,354,384098,1085,2
node2,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,0xf2cd7a71f8169b6ca15223bbb43f27ad4d0e31ed46adcffad24aa1f7a6f4a22c,717,1017,114083,717,901709,1257,2
node2,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,0xfb6c48a3fbecf7505fa8b7ecf768cdfa4f3a542d01b8a06461d353b3aceddcc5,1077,1489,169462,1077,1424999,1323,2
node2,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,0x62a52b20da884377bff220887c895c9a35cdafeb76d531851ad82a7e097067e7,1470,2004,229867,1470,2040940,1388,2
node2,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,0x3402f29bdc87367140ea3137b66908184d19888397c92f97598a22060302dce7,1792,2434,279709,1792,2546640,1421,2
node2,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,0x6bd56f4f8e00b5b9e13a68df6db79e745d4296f41e0a1874130acee5a8a6ebe4,2154,2922,336085,2154,3131387,1453,2
node2,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,0xcfc141747c9d0edae839b4ddbc25acba32e0bf8d0ff01a7ca70a2878d4009c3a,2548,3477,398473,2548,3781846,1484,2
node2,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,0xedd8f739beeb7d4bb4ecd4352e9d19be35225ca6a498c8544f083febe08299b8,2913,3993,456391,2913,4396587,1509,2
node2,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,0xc7f9b5d6444b6dc215f68fdf07226be07c6c19b995576d9dafe6e3b3f4ed6b7c,3262,4482,511662,3262,4997999,1532,2
node2,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,0x0654a0ed6ef0001bd9710ac60b9751acc07784224a6bf2e4c3abf65582c48d42,3649,5042,573726,3649,5682358,1557,2
node2,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,0x4f32f9d586015e4202f2dd8e60a8c0ddb55631c9ea05479494fdbf6f672e1d29,4073,5648,641382,4073,6440165,1581,2
node3,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,0x9b3839053eb77bbdfc6ba419f0b50834cc96acc4ec99df2b35ccabfaed1782e1,20,33,3338,20,11986,599,2
node3,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,0x3ee0aeab593b60d49027b17a1ff529376276641f37f9f1ddf2d6497a7352a0ba,354,518,57124,354,384098,1085,2
node3,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,0xf2cd7a71f8169b6ca15223bbb43f27ad4d0e31ed46adcffad24aa1f7a6f4a22c,717,1017,114083,717,901709,1257,2
node3,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,0xfb6c48a3fbecf7505fa8b7ecf768cdfa4f3a542d01b8a06461d353b3aceddcc5,1077,1489,169462,1077,1424999,1323,2
node3,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,0x62a52b20da884377bff220887c895c9a35cdafeb76d531851ad82a7e097067e7,1470,2004,229867,1470,2040940,1388,2
node3,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,0x3402f29bdc87367140ea3137b66908184d19888397c92f97598a22060302dce7,1792,2434,279709,1792,2546640,1421,2
node3,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,0x6bd56f4f8e00b5b9e13a68df6db79e745d4296f41e0a1874130acee5a8a6ebe4,2154,2922,336085,2154,3131387,1453,2
node3,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,0xcfc141747c9d0edae839b4ddbc25acba32e0bf8d0ff01a7ca70a2878d4009c3a,2548,3477,398473,2548,3781846,1484,2
node3,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,0xedd8f739beeb7d4bb4ecd4352e9d19be35225ca6a498c8544f083febe08299b8,2913,3993,456391,2913,4396587,1509,2
node3,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,0xc7f9b5d6444b6dc215f68fdf07226be07c6c19b995576d9dafe6e3b3f4ed6b7c,3262,4482,511662,3262,4997999,1532,2
node3,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,0x0654a0ed6ef0001bd9710ac60b9751acc07784224a6bf2e4c3abf65582c48d42,3649,5042,573726,3649,5682358,1557,2
node3,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,0x4f32f9d586015e4202f2dd8e60a8c0ddb55631c9ea05479494fdbf6f672e1d29,4073,5648,641382,4073,6440165,1581,2
node4,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,0x9b3839053eb77bbdfc6ba419f0b50834cc96acc4ec99df2b35ccabfaed1782e1,20,33,3338,20,11986,599,2
node4,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,0x3ee0aeab593b60d49027b17a1ff529376276641f37f9f1ddf2d6497a7352a0ba,354,518,57124,354,384098,1085,2
node4,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,0xf2cd7a71f8169b6ca15223bbb43f27ad4d0e31ed46adcffad24aa1f7a6f4a22c,717,1017,114083,717,901709,1257,2
node4,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,0xfb6c48a3fbecf7505fa8b7ecf768cdfa4f3a542d01b8a06461d353b3aceddcc5,1077,1489,169462,1077,1424999,1323,2
node4,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,0x62a52b20da884377bff220887c895c9a35cdafeb76d531851ad82a7e097067e7,1470,2004,229867,1470,2040940,1388,2
node4,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,0x3402f29bdc87367140ea3137b66908184d19888397c92f97598a22060302dce7,1792,2434,279709,1792,2546640,1421,2
node4,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,0x6bd56f4f8e00b5b9e13a68df6db79e745d4296f41e0a1874130acee5a8a6ebe4,2154,2922,336085,2154,3131387,1453,2
node4,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,0xcfc141747c9d0edae839b4ddbc25acba32e0bf8d0ff01a7ca70a2878d4009c3a,2548,3477,398473,2548,3781846,1484,2
node4,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,0xedd8f739beeb7d4bb4ecd4352e9d19be35225ca6a498c8544f083febe08299b8,2913,3993,456391,2913,4396587,1509,2
node4,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,0xc7f9b5d6444b6dc215f68fdf07226be07c6c19b995576d9dafe6e3b3f4ed6b7c,3262,4482,511662,3262,4997999,1532,2
node4,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,0x0654a0ed6ef0001bd9710ac60b9751acc07784224a6bf2e4c3abf65582c48d42,3649,5042,573726,3649,5682358,1557,2
node4,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,0x4f32f9d586015e4202f2dd8e60a8c0ddb55631c9ea05479494fdbf6f672e1d29,4073,5648,641382,4073,6440165,1581,2
