node,block,root,partition,new_raw_nodes,raw_node_bytes,missing_raw_nodes,aggregated_nodes,commitment_bytes,dirty_node_count,dirty_node_bytes,dirty_account_node_count,dirty_account_node_bytes,dirty_storage_node_count,dirty_storage_node_bytes,dirty_deleted_node_count
node1,3,0x320745de0eee8d86bfd3d69419e646d614531db06e38f3641f2e6f1191dc76e7,0,66,8092,0,138,4416,248,28816,248,28816,0,0,0
node1,3,0xe566599755c96c4dbd2f564ad9627db9b27a1d3ebeca5fbd0bc45ef13f48b021,0,14,2476,0,82,2624,139,16734,139,16734,0,0,0
node1,4,0xa44d2c6dd8c65e71bab4ddd598836ab84ee0d096e000a24da2f4985c03315f00,0,145,17213,0,368,11776,644,73549,644,73549,0,0,0
node1,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,0,379,46119,0,543,17376,742,89504,742,89504,0,0,0
node1,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,0,382,49841,0,722,23104,757,97862,757,97862,0,0,0
node1,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,0,204,28200,0,1243,39776,828,111371,828,111371,0,0,0
node1,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,0,202,30560,0,1516,48512,822,115562,822,115562,0,0,0
node1,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,0,213,32669,0,1829,58528,875,128548,875,128548,0,0,0
node1,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,0,237,35763,0,2127,68064,946,139672,946,139672,0,0,0
node1,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,0,231,36444,0,2411,77152,948,143672,948,143672,0,0,0
node1,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,0,243,40601,0,2676,85632,962,151705,962,151705,0,0,0
node1,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,0,248,38839,0,3010,96320,1007,158439,1007,158439,0,0,0
node1,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,0,269,45163,0,3252,104064,1039,165065,1039,165065,0,0,0
node1,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,0,270,46497,0,3563,114016,1042,166936,1042,166936,0,0,0
node1,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,0,199,34904,0,3800,121600,802,138485,802,138485,0,0,0
node2,3,0x320745de0eee8d86bfd3d69419e646d614531db06e38f3641f2e6f1191dc76e7,1,123,14543,0,92,2944,248,28816,248,28816,0,0,0
node2,3,0xe566599755c96c4dbd2f564ad9627db9b27a1d3ebeca5fbd0bc45ef13f48b021,1,19,2986,0,82,2624,139,16734,139,16734,0,0,0
node2,4,0xa44d2c6dd8c65e71bab4ddd598836ab84ee0d096e000a24da2f4985c03315f00,1,598,68363,0,54,1728,644,73549,644,73549,0,0,0
node2,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,1,183,22647,0,672,21504,742,89504,742,89504,0,0,0
node2,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,1,186,24479,0,978,31296,757,97862,757,97862,0,0,0
